Category,ID,Name,Structure,Category.CodingSchemeDesignator,Category.CodeValue,Category.CodeMeaning,Type.CodingSchemeDesignator,Type.CodeValue,Type.CodeMeaning,TypeModifier.CodingSchemeDesignator,TypeModifier.CodeValue,TypeModifier.CodeMeaning,AnatomicRegion.CodingSchemeDesignator,AnatomicRegion.CodeValue,AnatomicRegion.CodeMeaning,AnatomicRegionModifier.CodingSchemeDesignator,AnatomicRegionModifier.CodeValue,AnatomicRegionModifier.CodeMeaning,recommendedDisplayRGBValue,recommendedDisplayRGBValue.R,recommendedDisplayRGBValue.G,recommendedDisplayRGBValue.B
total_v1,33,vertebrae_T2,vertebrae_T2,SCT,123037004,Anatomical Structure,SCT,53733008,T2 vertebra,,,,,,,,,,"[141, 186, 216]",141,186,216
total_v1,34,vertebrae_T1,vertebrae_T1,SCT,123037004,Anatomical Structure,SCT,64864005,T1 vertebra,,,,,,,,,,"[0, 2, 145]",0,2,145
total_v1,35,vertebrae_C7,vertebrae_C7,SCT,123037004,Anatomical Structure,SCT,87391001,C7 vertebra,,,,,,,,,,"[255, 0, 0]",255,0,0
total_v1,36,vertebrae_C6,vertebrae_C6,SCT,123037004,Anatomical Structure,SCT,36054005,C6 vertebra,,,,,,,,,,"[253, 134, 125]",253,134,125
total_v1,37,vertebrae_C5,vertebrae_C5,SCT,123037004,Anatomical Structure,SCT,36978003,C5 vertebra,,,,,,,,,,"[118, 40, 9]",118,40,9
total_v1,38,vertebrae_C4,vertebrae_C4,SCT,123037004,Anatomical Structure,SCT,5329002,C4 vertebra,,,,,,,,,,"[250, 14, 116]",250,14,116
total_v1,39,vertebrae_C3,vertebrae_C3,SCT,123037004,Anatomical Structure,SCT,113205007,C3 vertebra,,,,,,,,,,"[167, 117, 152]",167,117,152
total_v1,40,vertebrae_C2,vertebrae_C2,SCT,123037004,Anatomical Structure,SCT,39976000,C2 vertebra,,,,,,,,,,"[193, 99, 36]",193,99,36
total_v1,41,vertebrae_C1,vertebrae_C1,SCT,123037004,Anatomical Structure,SCT,14806007,C1 vertebra,,,,,,,,,,"[255, 186, 107]",255,186,107
total_v1,42,esophagus,esophagus,SCT,123037004,Anatomical Structure,SCT,32849002,Esophagus,,,,,,,,,,"[211, 171, 143]",211,171,143
total_v1,43,trachea,trachea,SCT,123037004,Anatomical Structure,SCT,44567001,Trachea,,,,,,,,,,"[182, 228, 255]",182,228,255
total_v1,44,heart_myocardium,heart_myocardium,SCT,123037004,Anatomical Structure,SCT,74281007,Myocardium,,,,,,,,,,"[192, 104, 88]",192,104,88
total_v1,45,heart_atrium_left,heart_atrium_left,SCT,123037004,Anatomical Structure,SCT,82471001,Left atrium,,,,,,,,,,"[221, 129, 37]",221,129,37
total_v1,46,heart_ventricle_left,heart_ventricle_left,SCT,123037004,Anatomical Structure,SCT,87878005,Left ventricle of heart,,,,,,,,,,"[152, 55, 13]",152,55,13
total_v1,47,heart_atrium_right,heart_atrium_right,SCT,123037004,Anatomical Structure,SCT,73829009,Right atrium,,,,,,,,,,"[221, 129, 37]",221,129,37
total_v1,48,heart_ventricle_right,heart_ventricle_right,SCT,123037004,Anatomical Structure,SCT,53085002,Right ventricle of heart,,,,,,,,,,"[181, 85, 57]",181,85,57
total_v1,49,pulmonary_artery,pulmonary_artery,SCT,123037004,Anatomical Structure,SCT,81040000,Pulmonary artery,,,,,,,,,,"[0, 122, 171]",0,122,171
total_v1,50,brain,brain,SCT,123037004,Anatomical Structure,SCT,12738006,Brain,,,,,,,,,,"[250, 250, 225]",250,250,225
total_v1,51,iliac_artery_left,iliac_artery_left,SCT,123037004,Anatomical Structure,SCT,73634005,Common iliac artery,SCT,7771000,Left,,,,,,,"[217, 162, 48]",217,162,48
total_v1,52,iliac_artery_right,iliac_artery_right,SCT,123037004,Anatomical Structure,SCT,73634005,Common iliac artery,SCT,24028007,Right,,,,,,,"[217, 162, 48]",217,162,48
total_v1,53,iliac_vena_left,iliac_vena_left,SCT,123037004,Anatomical Structure,SCT,46027005,Common iliac vein,SCT,7771000,Left,,,,,,,"[197, 174, 37]",197,174,37
total_v1,54,iliac_vena_right,iliac_vena_right,SCT,123037004,Anatomical Structure,SCT,46027005,Common iliac vein,SCT,24028007,Right,,,,,,,"[197, 174, 37]",197,174,37
total_v1,55,small_bowel,small_bowel,SCT,123037004,Anatomical Structure,SCT,30315005,Small Intestine,,,,,,,,,,"[205, 167, 142]",205,167,142
total_v1,56,duodenum,duodenum,SCT,123037004,Anatomical Structure,SCT,38848004,Duodenum,,,,,,,,,,"[255, 253, 229]",255,253,229
total_v1,57,colon,colon,SCT,123037004,Anatomical Structure,SCT,71854001,Colon,,,,,,,,,,"[204, 168, 143]",204,168,143
total_v1,58,rib_left_1,rib_left_1,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,7771000,Left,,,,,,,"[0, 2, 145]",0,2,145
total_v1,59,rib_left_2,rib_left_2,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,7771000,Left,,,,,,,"[141, 186, 216]",141,186,216
total_v1,60,rib_left_3,rib_left_3,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,7771000,Left,,,,,,,"[30, 128, 188]",30,128,188
total_v1,61,rib_left_4,rib_left_4,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,7771000,Left,,,,,,,"[73, 228, 202]",73,228,202
total_v1,62,rib_left_5,rib_left_5,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,7771000,Left,,,,,,,"[8, 82, 73]",8,82,73
total_v1,63,rib_left_6,rib_left_6,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,7771000,Left,,,,,,,"[88, 119, 255]",88,119,255
total_v1,64,rib_left_7,rib_left_7,SCT,123037004,Anatomical Structure,SCT,24915002,Seventh rib,SCT,7771000,Left,,,,,,,"[109, 0, 145]",109,0,145
total_v1,65,rib_left_8,rib_left_8,SCT,123037004,Anatomical Structure,SCT,5953002,Eighth rib,SCT,7771000,Left,,,,,,,"[164, 216, 199]",164,216,199
total_v1,66,rib_left_9,rib_left_9,SCT,123037004,Anatomical Structure,SCT,22565002,Ninth rib,SCT,7771000,Left,,,,,,,"[96, 188, 62]",96,188,62
total_v1,67,rib_left_10,rib_left_10,SCT,123037004,Anatomical Structure,SCT,77644006,Tenth rib,SCT,7771000,Left,,,,,,,"[26, 97, 228]",26,97,228
total_v1,68,rib_left_11,rib_left_11,SCT,123037004,Anatomical Structure,SCT,58830002,Eleventh rib,SCT,7771000,Left,,,,,,,"[16, 164, 144]",16,164,144
total_v1,69,rib_left_12,rib_left_12,SCT,123037004,Anatomical Structure,SCT,43993008,Twelfth rib,SCT,7771000,Left,,,,,,,"[166, 89, 255]",166,89,255
total_v1,70,rib_right_1,rib_right_1,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,24028007,Right,,,,,,,"[0, 2, 145]",0,2,145
total_v1,71,rib_right_2,rib_right_2,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,24028007,Right,,,,,,,"[141, 186, 216]",141,186,216
total_v1,72,rib_right_3,rib_right_3,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,24028007,Right,,,,,,,"[30, 128, 188]",30,128,188
total_v1,73,rib_right_4,rib_right_4,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,24028007,Right,,,,,,,"[73, 228, 202]",73,228,202
total_v1,74,rib_right_5,rib_right_5,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,24028007,Right,,,,,,,"[8, 82, 73]",8,82,73
total_v1,75,rib_right_6,rib_right_6,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,24028007,Right,,,,,,,"[88, 119, 255]",88,119,255
total_v1,76,rib_right_7,rib_right_7,SCT,123037004,Anatomical Structure,SCT,24915002,Seventh rib,SCT,24028007,Right,,,,,,,"[109, 0, 145]",109,0,145
total_v1,77,rib_right_8,rib_right_8,SCT,123037004,Anatomical Structure,SCT,5953002,Eighth rib,SCT,24028007,Right,,,,,,,"[164, 216, 199]",164,216,199
total_v1,78,rib_right_9,rib_right_9,SCT,123037004,Anatomical Structure,SCT,22565002,Ninth rib,SCT,24028007,Right,,,,,,,"[96, 188, 62]",96,188,62
total_v1,79,rib_right_10,rib_right_10,SCT,123037004,Anatomical Structure,SCT,77644006,Tenth rib,SCT,24028007,Right,,,,,,,"[26, 97, 228]",26,97,228
total_v1,80,rib_right_11,rib_right_11,SCT,123037004,Anatomical Structure,SCT,58830002,Eleventh rib,SCT,24028007,Right,,,,,,,"[16, 164, 144]",16,164,144
